"﻿Source Name",Sample Name,Characteristics: Organism,Term Source REF,Term Accession Number,Characteristics: Strain,Term Source REF,Term Accession Number,Characteristics: Genotype,Term Source REF,Term Accession Number,Characteristics: Sex,Term Source REF,Term Accession Number,Characteristics: Material Type,Term Source REF,Term Accession Number,Factor Value: Spaceflight,Term Source REF,Term Accession Number,Factor Value: Duration,Unit,Term Source REF,Term Accession Number,Characteristics: Animal Source,Factor Value: Euthanasia Location,Term Source REF,Term Accession Number,Factor Value: Dissection Condition,Term Source REF,Term Accession Number,Factor Value: Age,Unit,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Light Cycle,Parameter Value: Diet,Term Source REF,Term Accession Number,Parameter Value: Feeding Schedule,Term Source REF,Term Accession Number,Protocol REF,Comment: LAR Animal Receipt Date at Scrippts,Comment: Euthanasia Dates,Comment: Dissection Dates,Parameter Value: Euthanasia Method,Term Source REF,Term Accession Number,Parameter Value: Carcass Preservation Method,Unit,Term Source REF,Term Accession Number,Parameter Value: Sample Preservation Method,Term Source REF,Term Accession Number,Parameter Value: Sample Storage Temperature,Unit,Term Source REF,Term Accession Number
BL_LAR_02,RR8_LVR_BSL_LAR_YNG_BL2,Mus musculus,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/10090,BALB/cAnNTac,,,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Female,MESH,http://purl.bioontology.org/ontology/MESH/D005260,Left Lobe of the Liver,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32965,Basal Control,,,0 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Taconic Biosciences,On Earth,,,Upon euthanasia,,,10 to 12 week,week,UO,http://purl.obolibrary.org/obo/UO_0000034,Animal Husbandry,12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),OSD,https://osdr.nasa.gov/,ad libitum,,,Sample Collection,Not applicable,5-Dec-18 to 6-Dec-18,5-Dec-18 to 6-Dec-18,ketamine/xylazine overdose and exsanguination/double thoracotomy,OSD,https://osdr.nasa.gov/,Not Applicable,Not Applicable,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
BL_LAR_04,RR8_LVR_BSL_LAR_YNG_BL4,Mus musculus,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/10090,BALB/cAnNTac,,,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Female,MESH,http://purl.bioontology.org/ontology/MESH/D005260,Left Lobe of the Liver,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32965,Basal Control,,,0 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Taconic Biosciences,On Earth,,,Upon euthanasia,,,10 to 12 week,week,UO,http://purl.obolibrary.org/obo/UO_0000034,Animal Husbandry,12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),OSD,https://osdr.nasa.gov/,ad libitum,,,Sample Collection,Not applicable,5-Dec-18 to 6-Dec-18,5-Dec-18 to 6-Dec-18,ketamine/xylazine overdose and exsanguination/double thoracotomy,OSD,https://osdr.nasa.gov/,Not Applicable,Not Applicable,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
BL_LAR_05,RR8_LVR_BSL_LAR_YNG_BL5,Mus musculus,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/10090,BALB/cAnNTac,,,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Female,MESH,http://purl.bioontology.org/ontology/MESH/D005260,Left Lobe of the Liver,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32965,Basal Control,,,0 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Taconic Biosciences,On Earth,,,Upon euthanasia,,,10 to 12 week,week,UO,http://purl.obolibrary.org/obo/UO_0000034,Animal Husbandry,12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),OSD,https://osdr.nasa.gov/,ad libitum,,,Sample Collection,Not applicable,5-Dec-18 to 6-Dec-18,5-Dec-18 to 6-Dec-18,ketamine/xylazine overdose and exsanguination/double thoracotomy,OSD,https://osdr.nasa.gov/,Not Applicable,Not Applicable,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
BL_LAR_06,RR8_LVR_BSL_LAR_YNG_BL6,Mus musculus,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/10090,BALB/cAnNTac,,,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Female,MESH,http://purl.bioontology.org/ontology/MESH/D005260,Left Lobe of the Liver,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32965,Basal Control,,,0 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Taconic Biosciences,On Earth,,,Upon euthanasia,,,10 to 12 week,week,UO,http://purl.obolibrary.org/obo/UO_0000034,Animal Husbandry,12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),OSD,https://osdr.nasa.gov/,ad libitum,,,Sample Collection,Not applicable,5-Dec-18 to 6-Dec-18,5-Dec-18 to 6-Dec-18,ketamine/xylazine overdose and exsanguination/double thoracotomy,OSD,https://osdr.nasa.gov/,Not Applicable,Not Applicable,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
BL_LAR_07,RR8_LVR_BSL_LAR_YNG_BL7,Mus musculus,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/10090,BALB/cAnNTac,,,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Female,MESH,http://purl.bioontology.org/ontology/MESH/D005260,Left Lobe of the Liver,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32965,Basal Control,,,0 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Taconic Biosciences,On Earth,,,Upon euthanasia,,,10 to 12 week,week,UO,http://purl.obolibrary.org/obo/UO_0000034,Animal Husbandry,12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),OSD,https://osdr.nasa.gov/,ad libitum,,,Sample Collection,Not applicable,5-Dec-18 to 6-Dec-18,5-Dec-18 to 6-Dec-18,ketamine/xylazine overdose and exsanguination/double thoracotomy,OSD,https://osdr.nasa.gov/,Not Applicable,Not Applicable,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
BL_LAR_08,RR8_LVR_BSL_LAR_YNG_BL8,Mus musculus,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/10090,BALB/cAnNTac,,,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Female,MESH,http://purl.bioontology.org/ontology/MESH/D005260,Left Lobe of the Liver,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32965,Basal Control,,,0 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Taconic Biosciences,On Earth,,,Upon euthanasia,,,10 to 12 week,week,UO,http://purl.obolibrary.org/obo/UO_0000034,Animal Husbandry,12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),OSD,https://osdr.nasa.gov/,ad libitum,,,Sample Collection,Not applicable,5-Dec-18 to 6-Dec-18,5-Dec-18 to 6-Dec-18,ketamine/xylazine overdose and exsanguination/double thoracotomy,OSD,https://osdr.nasa.gov/,Not Applicable,Not Applicable,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
BL_LAR_09,RR8_LVR_BSL_LAR_YNG_BL9,Mus musculus,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/10090,BALB/cAnNTac,,,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Female,MESH,http://purl.bioontology.org/ontology/MESH/D005260,Left Lobe of the Liver,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32965,Basal Control,,,0 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Taconic Biosciences,On Earth,,,Upon euthanasia,,,10 to 12 week,week,UO,http://purl.obolibrary.org/obo/UO_0000034,Animal Husbandry,12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),OSD,https://osdr.nasa.gov/,ad libitum,,,Sample Collection,Not applicable,5-Dec-18 to 6-Dec-18,5-Dec-18 to 6-Dec-18,ketamine/xylazine overdose and exsanguination/double thoracotomy,OSD,https://osdr.nasa.gov/,Not Applicable,Not Applicable,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
BL_LAR_10,RR8_LVR_BSL_LAR_YNG_BL10,Mus musculus,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/10090,BALB/cAnNTac,,,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Female,MESH,http://purl.bioontology.org/ontology/MESH/D005260,Left Lobe of the Liver,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32965,Basal Control,,,0 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Taconic Biosciences,On Earth,,,Upon euthanasia,,,10 to 12 week,week,UO,http://purl.obolibrary.org/obo/UO_0000034,Animal Husbandry,12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),OSD,https://osdr.nasa.gov/,ad libitum,,,Sample Collection,Not applicable,5-Dec-18 to 6-Dec-18,5-Dec-18 to 6-Dec-18,ketamine/xylazine overdose and exsanguination/double thoracotomy,OSD,https://osdr.nasa.gov/,Not Applicable,Not Applicable,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
BL_LAR_11,RR8_LVR_BSL_LAR_OLD_BL11,Mus musculus,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/10090,BALB/cAnNTac,,,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Female,MESH,http://purl.bioontology.org/ontology/MESH/D005260,Left Lobe of the Liver,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32965,Basal Control,,,0 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Taconic Biosciences,On Earth,,,Upon euthanasia,,,32 week,week,UO,http://purl.obolibrary.org/obo/UO_0000034,Animal Husbandry,12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),OSD,https://osdr.nasa.gov/,ad libitum,,,Sample Collection,Not applicable,5-Dec-18 to 6-Dec-18,5-Dec-18 to 6-Dec-18,ketamine/xylazine overdose and exsanguination/double thoracotomy,OSD,https://osdr.nasa.gov/,Not Applicable,Not Applicable,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
BL_LAR_12,RR8_LVR_BSL_LAR_OLD_BL12,Mus musculus,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/10090,BALB/cAnNTac,,,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Female,MESH,http://purl.bioontology.org/ontology/MESH/D005260,Left Lobe of the Liver,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32965,Basal Control,,,0 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Taconic Biosciences,On Earth,,,Upon euthanasia,,,32 week,week,UO,http://purl.obolibrary.org/obo/UO_0000034,Animal Husbandry,12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),OSD,https://osdr.nasa.gov/,ad libitum,,,Sample Collection,Not applicable,5-Dec-18 to 6-Dec-18,5-Dec-18 to 6-Dec-18,ketamine/xylazine overdose and exsanguination/double thoracotomy,OSD,https://osdr.nasa.gov/,Not Applicable,Not Applicable,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
BL_LAR_13,RR8_LVR_BSL_LAR_OLD_BL13,Mus musculus,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/10090,BALB/cAnNTac,,,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Female,MESH,http://purl.bioontology.org/ontology/MESH/D005260,Left Lobe of the Liver,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32965,Basal Control,,,0 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Taconic Biosciences,On Earth,,,Upon euthanasia,,,32 week,week,UO,http://purl.obolibrary.org/obo/UO_0000034,Animal Husbandry,12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),OSD,https://osdr.nasa.gov/,ad libitum,,,Sample Collection,Not applicable,5-Dec-18 to 6-Dec-18,5-Dec-18 to 6-Dec-18,ketamine/xylazine overdose and exsanguination/double thoracotomy,OSD,https://osdr.nasa.gov/,Not Applicable,Not Applicable,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
BL_LAR_14,RR8_LVR_BSL_LAR_OLD_BL14,Mus musculus,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/10090,BALB/cAnNTac,,,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Female,MESH,http://purl.bioontology.org/ontology/MESH/D005260,Left Lobe of the Liver,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32965,Basal Control,,,0 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Taconic Biosciences,On Earth,,,Upon euthanasia,,,32 week,week,UO,http://purl.obolibrary.org/obo/UO_0000034,Animal Husbandry,12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),OSD,https://osdr.nasa.gov/,ad libitum,,,Sample Collection,Not applicable,5-Dec-18 to 6-Dec-18,5-Dec-18 to 6-Dec-18,ketamine/xylazine overdose and exsanguination/double thoracotomy,OSD,https://osdr.nasa.gov/,Not Applicable,Not Applicable,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
BL_LAR_15,RR8_LVR_BSL_LAR_OLD_BL15,Mus musculus,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/10090,BALB/cAnNTac,,,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Female,MESH,http://purl.bioontology.org/ontology/MESH/D005260,Left Lobe of the Liver,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32965,Basal Control,,,0 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Taconic Biosciences,On Earth,,,Upon euthanasia,,,32 week,week,UO,http://purl.obolibrary.org/obo/UO_0000034,Animal Husbandry,12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),OSD,https://osdr.nasa.gov/,ad libitum,,,Sample Collection,Not applicable,5-Dec-18 to 6-Dec-18,5-Dec-18 to 6-Dec-18,ketamine/xylazine overdose and exsanguination/double thoracotomy,OSD,https://osdr.nasa.gov/,Not Applicable,Not Applicable,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
BL_LAR_16,RR8_LVR_BSL_LAR_OLD_BL16,Mus musculus,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/10090,BALB/cAnNTac,,,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Female,MESH,http://purl.bioontology.org/ontology/MESH/D005260,Left Lobe of the Liver,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32965,Basal Control,,,0 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Taconic Biosciences,On Earth,,,Upon euthanasia,,,32 week,week,UO,http://purl.obolibrary.org/obo/UO_0000034,Animal Husbandry,12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),OSD,https://osdr.nasa.gov/,ad libitum,,,Sample Collection,Not applicable,5-Dec-18 to 6-Dec-18,5-Dec-18 to 6-Dec-18,ketamine/xylazine overdose and exsanguination/double thoracotomy,OSD,https://osdr.nasa.gov/,Not Applicable,Not Applicable,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
BL_LAR_17,RR8_LVR_BSL_LAR_OLD_BL17,Mus musculus,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/10090,BALB/cAnNTac,,,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Female,MESH,http://purl.bioontology.org/ontology/MESH/D005260,Left Lobe of the Liver,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32965,Basal Control,,,0 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Taconic Biosciences,On Earth,,,Upon euthanasia,,,32 week,week,UO,http://purl.obolibrary.org/obo/UO_0000034,Animal Husbandry,12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),OSD,https://osdr.nasa.gov/,ad libitum,,,Sample Collection,Not applicable,5-Dec-18 to 6-Dec-18,5-Dec-18 to 6-Dec-18,ketamine/xylazine overdose and exsanguination/double thoracotomy,OSD,https://osdr.nasa.gov/,Not Applicable,Not Applicable,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
BL_LAR_18,RR8_LVR_BSL_LAR_OLD_BL18,Mus musculus,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/10090,BALB/cAnNTac,,,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Female,MESH,http://purl.bioontology.org/ontology/MESH/D005260,Left Lobe of the Liver,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32965,Basal Control,,,0 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Taconic Biosciences,On Earth,,,Upon euthanasia,,,32 week,week,UO,http://purl.obolibrary.org/obo/UO_0000034,Animal Husbandry,12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),OSD,https://osdr.nasa.gov/,ad libitum,,,Sample Collection,Not applicable,5-Dec-18 to 6-Dec-18,5-Dec-18 to 6-Dec-18,ketamine/xylazine overdose and exsanguination/double thoracotomy,OSD,https://osdr.nasa.gov/,Not Applicable,Not Applicable,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
BL_LAR_19,RR8_LVR_BSL_LAR_OLD_BL19,Mus musculus,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/10090,BALB/cAnNTac,,,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Female,MESH,http://purl.bioontology.org/ontology/MESH/D005260,Left Lobe of the Liver,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32965,Basal Control,,,0 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Taconic Biosciences,On Earth,,,Upon euthanasia,,,32 week,week,UO,http://purl.obolibrary.org/obo/UO_0000034,Animal Husbandry,12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),OSD,https://osdr.nasa.gov/,ad libitum,,,Sample Collection,Not applicable,5-Dec-18 to 6-Dec-18,5-Dec-18 to 6-Dec-18,ketamine/xylazine overdose and exsanguination/double thoracotomy,OSD,https://osdr.nasa.gov/,Not Applicable,Not Applicable,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
BL_LAR_20,RR8_LVR_BSL_LAR_OLD_BL20,Mus musculus,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/10090,BALB/cAnNTac,,,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Female,MESH,http://purl.bioontology.org/ontology/MESH/D005260,Left Lobe of the Liver,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32965,Basal Control,,,0 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Taconic Biosciences,On Earth,,,Upon euthanasia,,,32 week,week,UO,http://purl.obolibrary.org/obo/UO_0000034,Animal Husbandry,12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),OSD,https://osdr.nasa.gov/,ad libitum,,,Sample Collection,Not applicable,5-Dec-18 to 6-Dec-18,5-Dec-18 to 6-Dec-18,ketamine/xylazine overdose and exsanguination/double thoracotomy,OSD,https://osdr.nasa.gov/,Not Applicable,Not Applicable,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
FL_ISS_01,RR8_LVR_FLT_ISS-T_YNG_FI1,Mus musculus,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/10090,BALB/cAnNTac,,,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Female,MESH,http://purl.bioontology.org/ontology/MESH/D005260,Left Lobe of the Liver,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32965,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,22 to 23 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Taconic Biosciences,On ISS,,,Carcass,,,10 to 12 week,week,UO,http://purl.obolibrary.org/obo/UO_0000034,Animal Husbandry,12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),OSD,https://osdr.nasa.gov/,ad libitum,,,Sample Collection,Not applicable,27-Dec-18 to 28-Dec-18,27-Dec-18 to 28-Dec-18 and 7-Jan-20 to 9-Jan-20,ketamine/xylazine overdose and exsanguination/double thoracotomy,OSD,https://osdr.nasa.gov/,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
FL_ISS_02,RR8_LVR_FLT_ISS-T_YNG_FI2,Mus musculus,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/10090,BALB/cAnNTac,,,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Female,MESH,http://purl.bioontology.org/ontology/MESH/D005260,Left Lobe of the Liver,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C32965,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,22 to 23 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Taconic Biosciences,On ISS,,,Carcass,,,10 to 12 week,week,UO,http://purl.obolibrary.org/obo/UO_0000034,Animal Husbandry,12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),OSD,https://osdr.nasa.gov/,ad libitum,,,Sample Collection,Not applicable,27-Dec-18 to 28-Dec-18,27-Dec-18 to 28-Dec-18 and 7-Jan-20 to 9-Jan-20,ketamine/xylazine overdose and exsanguination/double thoracotomy,OSD,https://osdr.nasa.gov/,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,Liquid Nitrogen,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
